Geography,Unemployment rate; Estimate; Population 16 years and over
"Autauga County, Alabama",7.6
"Baldwin County, Alabama",7.5
"Barbour County, Alabama",17.6
"Bibb County, Alabama",8.3
"Blount County, Alabama",7.7
"Bullock County, Alabama",18
"Butler County, Alabama",10.9
"Calhoun County, Alabama",12.3
"Chambers County, Alabama",8.9
"Cherokee County, Alabama",7.9
"Chilton County, Alabama",9.1
"Choctaw County, Alabama",13.6
"Clarke County, Alabama",19.4
"Clay County, Alabama",9.4
"Cleburne County, Alabama",8.3
"Coffee County, Alabama",7.1
"Colbert County, Alabama",9
"Conecuh County, Alabama",22.6
"Coosa County, Alabama",17
"Covington County, Alabama",11.2
"Crenshaw County, Alabama",9.7
"Cullman County, Alabama",7.3
"Dale County, Alabama",10.9
"Dallas County, Alabama",16.4
"DeKalb County, Alabama",7.7
"Elmore County, Alabama",8.3
"Escambia County, Alabama",15.6
"Etowah County, Alabama",9
"Fayette County, Alabama",10
"Franklin County, Alabama",9.8
"Geneva County, Alabama",11.2
"Greene County, Alabama",20.4
"Hale County, Alabama",13.3
"Henry County, Alabama",8.1
"Houston County, Alabama",8.3
"Jackson County, Alabama",10.1
"Jefferson County, Alabama",9.1
"Lamar County, Alabama",10.2
"Lauderdale County, Alabama",7.1
"Lawrence County, Alabama",9.8
"Lee County, Alabama",7.3
"Limestone County, Alabama",7.8
"Lowndes County, Alabama",13.2
"Macon County, Alabama",16.9
"Madison County, Alabama",8.5
"Marengo County, Alabama",11.4
"Marion County, Alabama",9.9
"Marshall County, Alabama",8.4
"Mobile County, Alabama",9.8
"Monroe County, Alabama",20.7
"Montgomery County, Alabama",8.8
"Morgan County, Alabama",9.9
"Perry County, Alabama",11.2
"Pickens County, Alabama",13.8
"Pike County, Alabama",10.2
"Randolph County, Alabama",10.3
"Russell County, Alabama",11.1
"St. Clair County, Alabama",8.4
"Shelby County, Alabama",5.5
"Sumter County, Alabama",16.8
"Talladega County, Alabama",13.8
"Tallapoosa County, Alabama",9
"Tuscaloosa County, Alabama",7.6
"Walker County, Alabama",11.4
"Washington County, Alabama",20
"Wilcox County, Alabama",20.8
"Winston County, Alabama",9.6
"Aleutians East Borough, Alaska",2.9
"Acadia County, Louisiana",10.1
"Allen County, Louisiana",8.9
"Ascension County, Louisiana",6.4
"Assumption County, Louisiana",10.3
"Avoyelles County, Louisiana",9.6
"Beauregard County, Louisiana",5.7
"Bienville County, Louisiana",10.1
"Bossier County, Louisiana",5.7
"Caddo County, Louisiana",7
"Calcasieu County, Louisiana",8.3
"Caldwell County, Louisiana",10.2
"Cameron County, Louisiana",6.3
"Catahoula County, Louisiana",8.3
"Claiborne County, Louisiana",13.5
"Concordia County, Louisiana",11.7
"De Soto County, Louisiana",9.3
"East Baton Rouge County, Louisiana",7.6
"East Carroll County, Louisiana",19.2
"East Feliciana County, Louisiana",6.5
"Evangeline County, Louisiana",10.4
"Franklin County, Louisiana",11.5
"Grant County, Louisiana",9.2
"Iberia County, Louisiana",10.6
"Iberville County, Louisiana",7.9
"Jackson County, Louisiana",6.9
"Jefferson County, Louisiana",6.7
"Jefferson Davis County, Louisiana",9.2
"Lafayette County, Louisiana",6.3
"Lafourche County, Louisiana",7
"LaSalle County, Louisiana",6.3
"Lincoln County, Louisiana",11.9
"Livingston County, Louisiana",7
"Madison County, Louisiana",16.9
"Morehouse County, Louisiana",8
"Natchitoches County, Louisiana",12.2
"Orleans County, Louisiana",10.3
"Ouachita County, Louisiana",8
"Plaquemines County, Louisiana",4.7
"Pointe Coupee County, Louisiana",8.3
"Rapides County, Louisiana",8.6
"Red River County, Louisiana",9.2
"Richland County, Louisiana",9.6
"Sabine County, Louisiana",10.6
"St. Bernard County, Louisiana",12.2
"St. Charles County, Louisiana",7.7
"St. Helena County, Louisiana",14.4
"St. James County, Louisiana",11
"St. John the Baptist County, Louisiana",9.2
"St. Landry County, Louisiana",6.1
"St. Martin County, Louisiana",7.2
"St. Mary County, Louisiana",12.2
"St. Tammany County, Louisiana",7.6
"Tangipahoa County, Louisiana",10.7
"Tensas County, Louisiana",15.6
"Terrebonne County, Louisiana",5.5
"Union County, Louisiana",7.7
"Vermilion County, Louisiana",8.5
"Vernon County, Louisiana",7.5
"Washington County, Louisiana",15
"Webster County, Louisiana",7.6
"West Baton Rouge County, Louisiana",6.5
"West Carroll County, Louisiana",11.9
"West Feliciana County, Louisiana",8.5
"Winn County, Louisiana",6.3
"Adams County, Mississippi",11.3
"Alcorn County, Mississippi",9
"Amite County, Mississippi",12.7
"Attala County, Mississippi",12.6
"Benton County, Mississippi",17.1
"Bolivar County, Mississippi",15.3
"Calhoun County, Mississippi",10.1
"Carroll County, Mississippi",11.9
"Chickasaw County, Mississippi",12.2
"Choctaw County, Mississippi",14.2
"Claiborne County, Mississippi",17.5
"Clarke County, Mississippi",11.7
"Clay County, Mississippi",16.2
"Coahoma County, Mississippi",20.3
"Copiah County, Mississippi",14.3
"Covington County, Mississippi",13.7
"DeSoto County, Mississippi",7.6
"Forrest County, Mississippi",13.1
"Franklin County, Mississippi",8.9
"George County, Mississippi",9
"Greene County, Mississippi",12.6
"Grenada County, Mississippi",9.4
"Hancock County, Mississippi",10.1
"Harrison County, Mississippi",9.7
"Hinds County, Mississippi",10.3
"Holmes County, Mississippi",19.2
"Humphreys County, Mississippi",26.8
"Issaquena County, Mississippi",11.6
"Itawamba County, Mississippi",9.3
"Jackson County, Mississippi",9.1
"Jasper County, Mississippi",7.9
"Jefferson County, Mississippi",15.9
"Jefferson Davis County, Mississippi",12.9
"Jones County, Mississippi",7.4
"Kemper County, Mississippi",10.1
"Lafayette County, Mississippi",8.4
"Lamar County, Mississippi",8.5
"Lauderdale County, Mississippi",9.6
"Lawrence County, Mississippi",10.8
"Leake County, Mississippi",10.5
"Lee County, Mississippi",7.8
"Leflore County, Mississippi",16.3
"Lincoln County, Mississippi",7.5
"Lowndes County, Mississippi",12.6
"Madison County, Mississippi",5.4
"Marion County, Mississippi",10.4
"Marshall County, Mississippi",8.4
"Monroe County, Mississippi",10.9
"Montgomery County, Mississippi",8.5
"Neshoba County, Mississippi",9.8
"Newton County, Mississippi",10.6
"Noxubee County, Mississippi",19
"Oktibbeha County, Mississippi",13.3
"Panola County, Mississippi",10.3
"Pearl River County, Mississippi",12.1
"Perry County, Mississippi",12.9
"Pike County, Mississippi",9.5
"Pontotoc County, Mississippi",6.6
"Prentiss County, Mississippi",10.2
"Quitman County, Mississippi",25.3
"Rankin County, Mississippi",5.4
"Scott County, Mississippi",13.1
"Sharkey County, Mississippi",22.1
"Simpson County, Mississippi",10.9
"Smith County, Mississippi",4.8
"Stone County, Mississippi",9.7
"Sunflower County, Mississippi",20.1
"Tallahatchie County, Mississippi",19
"Tate County, Mississippi",10
"Tippah County, Mississippi",12.2
"Tishomingo County, Mississippi",10.5
"Tunica County, Mississippi",12.4
"Union County, Mississippi",10.7
"Walthall County, Mississippi",11.1
"Warren County, Mississippi",8
"Washington County, Mississippi",21.7
"Wayne County, Mississippi",9.4
"Webster County, Mississippi",11.2
"Wilkinson County, Mississippi",9.7
"Winston County, Mississippi",12.3
"Yalobusha County, Mississippi",5.7
"Yazoo County, Mississippi",19.8
"Beaverhead County, Montana",6.5
"Big Horn County, Montana",19.9
"Blaine County, Montana",13.4
"Broadwater County, Montana",4.5
"Carbon County, Montana",3.9
"Carter County, Montana",2.3
"Cascade County, Montana",5.1
"Chouteau County, Montana",4.3
"Custer County, Montana",3.8
"Daniels County, Montana",2.6
"Dawson County, Montana",2
"Deer Lodge County, Montana",3.9
"Fallon County, Montana",3.3
"Fergus County, Montana",3.1
"Flathead County, Montana",7
"Gallatin County, Montana",6.3
"Garfield County, Montana",0.2
"Glacier County, Montana",14.4
"Golden Valley County, Montana",3.5
"Granite County, Montana",7.2
"Hill County, Montana",4
"Jefferson County, Montana",6.6
"Judith Basin County, Montana",3.9
"Lake County, Montana",9.9
"Lewis and Clark County, Montana",4.9
"Liberty County, Montana",4.5
"Lincoln County, Montana",13.1
"McCone County, Montana",0.8
"Madison County, Montana",4.8
"Meagher County, Montana",3.9
"Mineral County, Montana",11.8
"Missoula County, Montana",8.2
"Musselshell County, Montana",4.6
"Park County, Montana",5.4
"Petroleum County, Montana",6.6
"Phillips County, Montana",6.3
"Pondera County, Montana",6
"Powder River County, Montana",4.5
"Powell County, Montana",2.2
"Prairie County, Montana",8.1
"Ravalli County, Montana",8.2
"Richland County, Montana",2.5
"Roosevelt County, Montana",6.8
"Rosebud County, Montana",10.6
"Sanders County, Montana",9.3
"Sheridan County, Montana",2.7
"Silver Bow County, Montana",7
"Stillwater County, Montana",3.6
"Sweet Grass County, Montana",0.9
"Teton County, Montana",5.1
"Toole County, Montana",3.1
"Treasure County, Montana",0.8
"Valley County, Montana",2.6
"Wheatland County, Montana",3.4
"Wibaux County, Montana",3
"Yellowstone County, Montana",4.1
"Adams County, North Dakota",1.2
"Barnes County, North Dakota",2.4
"Benson County, North Dakota",6.1
"Billings County, North Dakota",1.4
"Bottineau County, North Dakota",2.6
"Bowman County, North Dakota",1.8
"Burke County, North Dakota",2.3
"Burleigh County, North Dakota",2.3
"Cass County, North Dakota",3.2
"Cavalier County, North Dakota",0.8
"Dickey County, North Dakota",1.5
"Divide County, North Dakota",0.7
"Dunn County, North Dakota",4.3
"Eddy County, North Dakota",1.9
"Emmons County, North Dakota",3.6
"Foster County, North Dakota",1.3
"Golden Valley County, North Dakota",1
"Grand Forks County, North Dakota",3.6
"Grant County, North Dakota",3.4
"Griggs County, North Dakota",2
"Hettinger County, North Dakota",1.1
"Kidder County, North Dakota",0.9
"LaMoure County, North Dakota",1.9
"Logan County, North Dakota",2.2
"McHenry County, North Dakota",3.1
"McIntosh County, North Dakota",1.2
"McKenzie County, North Dakota",3
"McLean County, North Dakota",1.6
"Mercer County, North Dakota",3.2
"Morton County, North Dakota",3.2
"Mountrail County, North Dakota",4.7
"Nelson County, North Dakota",0.7
"Oliver County, North Dakota",3.6
"Pembina County, North Dakota",3.5
"Pierce County, North Dakota",0.9
"Ramsey County, North Dakota",1.2
"Ransom County, North Dakota",2
"Renville County, North Dakota",1.6
"Richland County, North Dakota",3
"Rolette County, North Dakota",4.8
"Sargent County, North Dakota",1.2
"Sheridan County, North Dakota",2
"Sioux County, North Dakota",20.3
"Slope County, North Dakota",0
"Stark County, North Dakota",2.8
"Steele County, North Dakota",4
"Stutsman County, North Dakota",2.5
"Towner County, North Dakota",2.9
"Traill County, North Dakota",2.7
"Walsh County, North Dakota",3.3
"Ward County, North Dakota",2.6
"Wells County, North Dakota",1.3
"Williams County, North Dakota",1.7
"Aurora County, South Dakota",1.9
"Beadle County, South Dakota",2.9
"Bennett County, South Dakota",14.7
"Bon Homme County, South Dakota",0.9
"Brookings County, South Dakota",3.1
"Brown County, South Dakota",2.5
"Brule County, South Dakota",2.6
"Buffalo County, South Dakota",16.3
"Butte County, South Dakota",3
"Campbell County, South Dakota",1.4
"Charles Mix County, South Dakota",5.1
"Clark County, South Dakota",2.8
"Clay County, South Dakota",6.8
"Codington County, South Dakota",2.9
"Corson County, South Dakota",29.4
"Custer County, South Dakota",5.2
"Davison County, South Dakota",3.3
"Day County, South Dakota",3.9
"Deuel County, South Dakota",3.1
"Dewey County, South Dakota",24.6
"Douglas County, South Dakota",0.4
"Edmunds County, South Dakota",1.8
"Fall River County, South Dakota",4.1
"Faulk County, South Dakota",0.7
"Grant County, South Dakota",4.1
"Gregory County, South Dakota",2.1
"Haakon County, South Dakota",2.5
"Hamlin County, South Dakota",2.5
"Hand County, South Dakota",1.7
"Hanson County, South Dakota",1.1
"Harding County, South Dakota",1.4
"Hughes County, South Dakota",3.1
"Hutchinson County, South Dakota",3
"Hyde County, South Dakota",1.8
"Jackson County, South Dakota",17.4
"Jerauld County, South Dakota",0.9
"Jones County, South Dakota",3.6
"Kingsbury County, South Dakota",2
"Lake County, South Dakota",4.4
"Lawrence County, South Dakota",3.8
"Lincoln County, South Dakota",1.9
"Lyman County, South Dakota",7.4
"McCook County, South Dakota",2.1
"McPherson County, South Dakota",6.7
"Marshall County, South Dakota",0.7
"Meade County, South Dakota",2.3
"Mellette County, South Dakota",12
"Miner County, South Dakota",4.1
"Minnehaha County, South Dakota",4.4
"Moody County, South Dakota",6.1
"Oglala Lakota County, South Dakota",28.7
"Pennington County, South Dakota",4.8
"Perkins County, South Dakota",4.5
"Potter County, South Dakota",0.5
"Roberts County, South Dakota",7.6
"Sanborn County, South Dakota",3.4
"Spink County, South Dakota",1.1
"Stanley County, South Dakota",1.4
"Sully County, South Dakota",1.7
"Todd County, South Dakota",25.4
"Tripp County, South Dakota",2.1
"Turner County, South Dakota",2.5
"Union County, South Dakota",2.9
"Walworth County, South Dakota",5.8
"Yankton County, South Dakota",3.6
"Ziebach County, South Dakota",27.4
